case_id,group_id,original_fold0_role,original_active_fold_training_direct,original_active_fold_training_group,original_validation_subset_direct,original_validation_subset_group,original_all_fold_normalizer_pool_direct,original_all_fold_normalizer_pool_group,original_development_direct,original_development_group,old_locked_only_sensitivity
BRATS_010,sg_5c0779fb48082fce,locked_test,False,False,False,False,False,False,False,False,True
BRATS_020,sg_3ffd0110fd8c70a1,locked_test,False,False,False,False,False,True,False,True,False
BRATS_023,sg_a79c24b2ab681a89,locked_test,False,False,False,False,False,False,False,False,True
BRATS_027,sg_4267e6ff34e2e7aa,outer_val,False,False,False,False,True,True,True,True,False
BRATS_034,sg_9d9491b35b219f3e,outer_val,False,False,False,False,True,True,True,True,False
BRATS_035,sg_6c3b7da86323c267,outer_val,False,False,False,False,True,True,True,True,False
BRATS_045,sg_f68c66cac443ae9a,inner_val,False,False,True,True,True,True,True,True,False
BRATS_048,sg_33055ac40922cca6,inner_val,False,False,True,True,True,True,True,True,False
BRATS_051,sg_76c55b2034ec06a9,outer_val,False,False,False,False,True,True,True,True,False
BRATS_059,sg_ba3a8080940b073a,outer_val,False,False,False,False,True,True,True,True,False
BRATS_062,sg_d94777b27d97ed81,inner_val,False,False,True,True,True,True,True,True,False
BRATS_066,sg_b22b67d112cc5d1a,locked_test,False,False,False,False,False,False,False,False,True
BRATS_076,sg_307d026dc8f7f6a2,inner_val,False,False,True,True,True,True,True,True,False
BRATS_080,sg_09e69c148337e6f2,outer_val,False,False,False,False,True,True,True,True,False
BRATS_092,sg_ba92e4f1c3218b3e,outer_val,False,False,False,False,True,True,True,True,False
BRATS_096,sg_f05f74ccf0cb9cd0,locked_test,False,False,False,False,False,True,False,True,False
BRATS_097,sg_b8270589d730933f,locked_test,False,False,False,False,False,False,False,False,True
BRATS_116,sg_208587454a785b38,locked_test,False,False,False,False,False,False,False,False,True
BRATS_119,sg_f0dec3098c35e293,outer_val,False,False,False,False,True,True,True,True,False
BRATS_135,sg_a17c8025f2884526,inner_val,False,False,True,True,True,True,True,True,False
BRATS_143,sg_2765272d3a548d1a,inner_val,False,False,True,True,True,True,True,True,False
BRATS_144,sg_eba0e4eedce19b2a,outer_val,False,False,False,False,True,True,True,True,False
BRATS_160,sg_01ac2338604cf8bc,outer_val,False,False,False,False,True,True,True,True,False
BRATS_163,sg_ac2ad219782acb6d,outer_val,False,False,False,False,True,True,True,True,False
BRATS_170,sg_746c61eaf9fad2e3,inner_val,False,False,True,True,True,True,True,True,False
BRATS_190,sg_4f51bee88ad1bdc1,outer_val,False,False,False,False,True,True,True,True,False
BRATS_194,sg_91c0f97012b3ce95,inner_val,False,False,False,False,True,True,True,True,False
BRATS_197,sg_6980cc12eb6c16ca,outer_val,False,False,False,False,True,True,True,True,False
BRATS_227,sg_8937151c38cb28ed,inner_val,False,False,False,False,True,True,True,True,False
BRATS_228,sg_8937151c38cb28ed,outer_val,False,False,False,False,True,True,True,True,False
BRATS_234,sg_332e12d666debe62,locked_test,False,False,False,False,False,False,False,False,True
BRATS_259,sg_c12d4b1240c5accb,inner_val,False,False,False,False,True,True,True,True,False
